Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Lennart/adjust/1,2.7129243185564036e-8,2.711375821654582e-8,2.715336849319252e-8,6.121758170365702e-11,4.282670360557743e-11,7.82116939458597e-11
adjust/DeBruijn.Lazy.Lennart/adjust/2,1.2315122338238315e-7,1.230175717550404e-7,1.2334677757124655e-7,4.987206401073466e-10,3.8954400682820816e-10,6.057515445681703e-10
adjust/DeBruijn.Lazy.Lennart/adjust/3,2.7479497244333866e-7,2.746060163920245e-7,2.75003668516228e-7,6.681195378666347e-10,5.639325101694473e-10,8.644881245074648e-10
adjust/DeBruijn.Lazy.Lennart/adjust/4,4.923628752601269e-7,4.920248987133041e-7,4.927957816461461e-7,1.2909578640067297e-9,9.965795360976622e-10,1.7683883012032025e-9
adjust/DeBruijn.Lazy.Lennart/adjust/5,8.150340786751561e-7,8.075039723860761e-7,8.224296945224223e-7,2.580852186484059e-8,2.27108871750854e-8,3.202335886455726e-8
adjust/DeBruijn.Lazy.Lennart/adjust/6,1.1714684041224594e-6,1.1643605178640694e-6,1.1794349117439524e-6,2.5722547065031913e-8,2.3091685929305967e-8,3.018241397087626e-8
adjust/DeBruijn.Lazy.Lennart/adjust/7,1.6406179279017925e-6,1.6330240399835606e-6,1.6479227695409509e-6,2.554718255401942e-8,2.2135168491363297e-8,2.934865356705769e-8
adjust/DeBruijn.Lazy.Lennart/adjust/8,2.2000629423813422e-6,2.185478831358216e-6,2.2214226189711247e-6,5.8581617429833614e-8,4.7357631742249576e-8,7.366309084611054e-8
adjust/DeBruijn.Lazy.Lennart/adjust/9,2.8740971338382905e-6,2.8720739880107036e-6,2.8768379248584824e-6,8.207257363188959e-9,6.159118058696672e-9,1.0561203132553583e-8
adjust/DeBruijn.Lazy.Lennart/adjust/10,3.681928515946648e-6,3.6800432592524084e-6,3.6841691628649633e-6,7.254371319692294e-9,5.483056121491735e-9,9.36886526284347e-9
adjust/DeBruijn.Lazy.Lennart/adjust/11,4.682006014976896e-6,4.677495353299103e-6,4.687799098833611e-6,1.6458616385316497e-8,1.2107902694007256e-8,2.227555114981728e-8
adjust/DeBruijn.Lazy.Lennart/adjust/12,5.796957030354248e-6,5.792473238789493e-6,5.803228875874404e-6,1.6767261961279303e-8,1.2075092562820801e-8,2.3545995827712135e-8
adjust/DeBruijn.Lazy.Lennart/adjust/13,7.305055709518495e-6,7.259006435910302e-6,7.344195459153763e-6,1.4275889100341539e-7,1.2508490863184338e-7,1.5999447323000287e-7
adjust/DeBruijn.Lazy.Lennart/adjust/14,8.76251963767258e-6,8.705565451440239e-6,8.833180266342072e-6,2.2021145648589423e-7,1.9605346858741504e-7,2.5323920300215234e-7
adjust/DeBruijn.Lazy.Lennart/adjust/15,1.058411481477923e-5,1.0519429869504981e-5,1.0645027331678234e-5,2.1309645889900036e-7,1.751806669381584e-7,2.540638970035115e-7
adjust/DeBruijn.Lazy.Lennart/adjust/16,1.2591506989808436e-5,1.250330313228277e-5,1.268231140024607e-5,2.8817791819261375e-7,2.2642875600688123e-7,3.7286742447564855e-7
adjust/DeBruijn.Lazy.Lennart/adjust/17,1.43524673005742e-5,1.4210704319857492e-5,1.4486095223792015e-5,4.535016083990774e-7,3.90050012357534e-7,5.890577263340512e-7
adjust/DeBruijn.Lazy.Lennart/adjust/18,1.641589449600512e-5,1.6280329871161026e-5,1.659567634017889e-5,5.169908964518621e-7,4.2767220812904847e-7,6.37953595523562e-7
adjust/DeBruijn.Lazy.Lennart/adjust/19,1.811557193047553e-5,1.8095981844752672e-5,1.8141390285073307e-5,7.983564633753797e-8,6.375686558177191e-8,1.0460557339131092e-7
adjust/DeBruijn.Lazy.Lennart/adjust/20,2.098401954783859e-5,2.095024139044968e-5,2.1045188673552458e-5,1.4596311497879097e-7,9.921500294915993e-8,2.4639580904423023e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Lennart/adjust/1,2.6969407293630915e-8,2.6956063734572462e-8,2.699453907467968e-8,5.678049293400371e-11,3.9621964372872913e-11,9.338524172730153e-11
adjust/DeBruijn.Lazy.Lennart/adjust/2,1.327705935897449e-7,1.3239469861687547e-7,1.33094421090642e-7,1.182875536054465e-9,9.661604787663546e-10,1.6029286150387258e-9
adjust/DeBruijn.Lazy.Lennart/adjust/3,2.8616790266471227e-7,2.858072477366337e-7,2.864875045284371e-7,1.1323972526625512e-9,9.152307522558547e-10,1.470541282668903e-9
adjust/DeBruijn.Lazy.Lennart/adjust/4,5.328098552081821e-7,5.31120256082693e-7,5.340874077643764e-7,5.07507790155584e-9,3.904426552440856e-9,7.009576785888528e-9
adjust/DeBruijn.Lazy.Lennart/adjust/5,8.761892330666814e-7,8.732775823309575e-7,8.793394968078929e-7,1.0096971113358821e-8,8.491154622318636e-9,1.3293972904995954e-8
adjust/DeBruijn.Lazy.Lennart/adjust/6,1.2976347169733616e-6,1.2929131202371075e-6,1.3016114015411381e-6,1.581913104934689e-8,1.2345607590457338e-8,2.2318796976738187e-8
adjust/DeBruijn.Lazy.Lennart/adjust/7,1.8111100493304365e-6,1.805783628506813e-6,1.8172449946585835e-6,1.8920753521752448e-8,1.6127195609046092e-8,2.2358512716991643e-8
adjust/DeBruijn.Lazy.Lennart/adjust/8,2.4802344972129514e-6,2.468375305588186e-6,2.4897159300000513e-6,3.716888634340212e-8,3.016395355729392e-8,5.079806400925543e-8
adjust/DeBruijn.Lazy.Lennart/adjust/9,3.2866435978882043e-6,3.274466163832597e-6,3.300513764540716e-6,4.214207583961837e-8,3.277064626007599e-8,5.8815473670376685e-8
adjust/DeBruijn.Lazy.Lennart/adjust/10,4.1254966567732465e-6,4.1087947591333565e-6,4.138131214358164e-6,4.58471025198101e-8,3.767207994286105e-8,5.848621785993328e-8
adjust/DeBruijn.Lazy.Lennart/adjust/11,5.209670416843218e-6,5.194624510766254e-6,5.224989726758703e-6,4.928310126666912e-8,4.046259448186233e-8,5.92377699688962e-8
adjust/DeBruijn.Lazy.Lennart/adjust/12,6.548129903313556e-6,6.524509823569123e-6,6.570927250618411e-6,7.69412835268891e-8,6.066614257707414e-8,1.1008198358359586e-7
adjust/DeBruijn.Lazy.Lennart/adjust/13,7.913674637243172e-6,7.871176241100479e-6,7.94049785567425e-6,1.0905058399905027e-7,8.450173491905862e-8,1.6519865303281856e-7
adjust/DeBruijn.Lazy.Lennart/adjust/14,9.362060443535622e-6,9.343261328238807e-6,9.381161692947863e-6,6.366063457376408e-8,4.9314517058874815e-8,9.33377329447085e-8
adjust/DeBruijn.Lazy.Lennart/adjust/15,1.1118270062590539e-5,1.1072689748935207e-5,1.1192583544761795e-5,1.909537064058774e-7,1.1479775647744875e-7,3.55100671472916e-7
adjust/DeBruijn.Lazy.Lennart/adjust/16,1.3100949419085364e-5,1.3054250053480476e-5,1.3144458386150362e-5,1.5039040797584303e-7,1.2055434416375252e-7,2.1256315878765815e-7
adjust/DeBruijn.Lazy.Lennart/adjust/17,1.5240824673513051e-5,1.5195457086194458e-5,1.5293683176329206e-5,1.5969706002229453e-7,1.222110293524794e-7,2.211099676928776e-7
adjust/DeBruijn.Lazy.Lennart/adjust/18,1.75018235050382e-5,1.7423900328531653e-5,1.7549781161045226e-5,2.0092033871793984e-7,1.5213911338240962e-7,2.803961786897344e-7
adjust/DeBruijn.Lazy.Lennart/adjust/19,1.8659165361187368e-5,1.8381281016644368e-5,1.8996554858215955e-5,1.0375559810987148e-6,9.144070037621118e-7,1.110429266185708e-6
adjust/DeBruijn.Lazy.Lennart/adjust/20,2.0640009754974293e-5,2.0625054027497926e-5,2.066963764232967e-5,6.602264654947464e-8,3.5378350291274944e-8,1.3067094762782287e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Lennart/adjust/1,2.7157885319490882e-8,2.7142578787043647e-8,2.717512043276035e-8,5.60239558447593e-11,4.4576456761320924e-11,7.541934533630903e-11
adjust/DeBruijn.Lazy.Lennart/adjust/2,1.2167460890743533e-7,1.2153901988703763e-7,1.219308840478453e-7,5.873670532761645e-10,3.638769007828203e-10,8.604481822642093e-10
adjust/DeBruijn.Lazy.Lennart/adjust/3,2.7387145986097146e-7,2.736543295783464e-7,2.7419323730673587e-7,8.30214397356682e-10,5.983586684339791e-10,1.0780913994146589e-9
adjust/DeBruijn.Lazy.Lennart/adjust/4,4.900839198679266e-7,4.895475086111403e-7,4.909300452559535e-7,2.2388975993275173e-9,1.5964428137980116e-9,3.2322740388347493e-9
adjust/DeBruijn.Lazy.Lennart/adjust/5,7.766181669112628e-7,7.762639361229231e-7,7.771264386727262e-7,1.4370599084301496e-9,1.0641613996701803e-9,2.0064985274645213e-9
adjust/DeBruijn.Lazy.Lennart/adjust/6,1.1331516977173706e-6,1.1325788466443565e-6,1.1342594208325267e-6,2.6074550205774653e-9,1.5979517969750187e-9,4.637092689222732e-9
adjust/DeBruijn.Lazy.Lennart/adjust/7,1.5844441908149846e-6,1.582978327940245e-6,1.5865786448321404e-6,5.712290754796899e-9,3.5561267642764934e-9,8.137170270877598e-9
adjust/DeBruijn.Lazy.Lennart/adjust/8,2.1313775350720537e-6,2.1304810753286177e-6,2.1324624784600155e-6,3.2416177949586604e-9,2.5644364583226554e-9,4.132236828055675e-9
adjust/DeBruijn.Lazy.Lennart/adjust/9,2.842266646155693e-6,2.8412776730494947e-6,2.8433057193664413e-6,3.4789022462216056e-9,2.6773351757516486e-9,4.742132610782589e-9
adjust/DeBruijn.Lazy.Lennart/adjust/10,3.6517001688012134e-6,3.649556871046953e-6,3.6564469138630297e-6,1.025565663496229e-8,5.950252556777381e-9,1.783242156543937e-8
adjust/DeBruijn.Lazy.Lennart/adjust/11,4.612307534929546e-6,4.609120783280966e-6,4.617178530098594e-6,1.3413156680470168e-8,9.450786493459502e-9,1.8467414999814813e-8
adjust/DeBruijn.Lazy.Lennart/adjust/12,5.7561631317349995e-6,5.751907352113252e-6,5.762535036910053e-6,1.7254166740351924e-8,1.1944109586479354e-8,2.3560327888374083e-8
adjust/DeBruijn.Lazy.Lennart/adjust/13,7.044979718143174e-6,7.038406872200337e-6,7.056692337134144e-6,2.796882050680918e-8,1.8828581543949307e-8,3.9174611334393404e-8
adjust/DeBruijn.Lazy.Lennart/adjust/14,8.486946254137871e-6,8.481963727865959e-6,8.494106025545372e-6,2.049849019799708e-8,1.453214448798839e-8,2.7383779821951787e-8
adjust/DeBruijn.Lazy.Lennart/adjust/15,1.0065022786133668e-5,1.0054678586027309e-5,1.0082570746961604e-5,4.4620332726343794e-8,2.822459090598672e-8,7.223838323500825e-8
adjust/DeBruijn.Lazy.Lennart/adjust/16,1.1759087104719918e-5,1.1749959616351514e-5,1.1773181617350603e-5,3.694065667322178e-8,2.5873556290643853e-8,4.750672203555347e-8
adjust/DeBruijn.Lazy.Lennart/adjust/17,1.3795170690255452e-5,1.378958689773427e-5,1.3804269337636768e-5,2.3840001326156228e-8,1.599041900709796e-8,3.3639587866832004e-8
adjust/DeBruijn.Lazy.Lennart/adjust/18,1.5847480050050085e-5,1.583621139416351e-5,1.586599715223663e-5,4.6399278646113735e-8,3.156093640491235e-8,8.09026636213289e-8
adjust/DeBruijn.Lazy.Lennart/adjust/19,1.7954925616191615e-5,1.794532618978715e-5,1.7974205237881727e-5,4.355915807722552e-8,2.7382419659383738e-8,6.773332009055098e-8
adjust/DeBruijn.Lazy.Lennart/adjust/20,2.074503132660732e-5,2.073396998563466e-5,2.0763169140618528e-5,4.659090191182959e-8,2.758238861144845e-8,8.361500882772716e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Lennart/adjust/1,2.7250797619064172e-8,2.7209229120340948e-8,2.7316361529566488e-8,1.7687745698820615e-10,1.1820330545576016e-10,2.510573833576332e-10
adjust/DeBruijn.Lazy.Lennart/adjust/2,1.2742042308226674e-7,1.2726967857926283e-7,1.277500872713833e-7,7.115982223008784e-10,3.8475896886860354e-10,1.2980455308999674e-9
adjust/DeBruijn.Lazy.Lennart/adjust/3,2.812797058605629e-7,2.810031948553888e-7,2.8178874998357937e-7,1.2474615048203835e-9,7.047623885178291e-10,2.140976127898775e-9
adjust/DeBruijn.Lazy.Lennart/adjust/4,5.055883795203002e-7,5.047517330239142e-7,5.071753392086904e-7,3.693729747327588e-9,2.4584772111021716e-9,6.229412790603247e-9
adjust/DeBruijn.Lazy.Lennart/adjust/5,7.986729051890301e-7,7.977822369346983e-7,8.000301885104933e-7,3.640107655189555e-9,2.6348568871164762e-9,6.100051003790369e-9
adjust/DeBruijn.Lazy.Lennart/adjust/6,1.1637679761385628e-6,1.1631802119566814e-6,1.164739164841131e-6,2.3701384752640656e-9,1.7481547365590044e-9,3.2652646470739766e-9
adjust/DeBruijn.Lazy.Lennart/adjust/7,1.6240918565149305e-6,1.6220541048551982e-6,1.6292414370877281e-6,9.788224198768669e-9,6.252268032091294e-9,1.7708360966511885e-8
adjust/DeBruijn.Lazy.Lennart/adjust/8,2.1849562924839473e-6,2.1824861629196222e-6,2.188933534670776e-6,9.78629264011807e-9,7.211433114250838e-9,1.601193671440122e-8
adjust/DeBruijn.Lazy.Lennart/adjust/9,2.91077824677128e-6,2.907977587079657e-6,2.9154783488742546e-6,1.1664213382843192e-8,6.788872262560831e-9,2.174396509874582e-8
adjust/DeBruijn.Lazy.Lennart/adjust/10,3.756123410000018e-6,3.7496147645852335e-6,3.7654597112975735e-6,2.5466019036837857e-8,1.8586180232485328e-8,3.67187713247982e-8
adjust/DeBruijn.Lazy.Lennart/adjust/11,4.687426086341893e-6,4.6824302452202385e-6,4.6969656533643494e-6,2.3248173631623323e-8,1.7416348210869352e-8,3.155020919030012e-8
adjust/DeBruijn.Lazy.Lennart/adjust/12,5.8578464628500495e-6,5.854602440578956e-6,5.863477558440754e-6,1.408689140387858e-8,9.565338971737127e-9,2.124110786271587e-8
adjust/DeBruijn.Lazy.Lennart/adjust/13,7.159956801733914e-6,7.150451421428947e-6,7.1786406196055915e-6,4.152559983576353e-8,2.523631128366986e-8,7.803916721145215e-8
adjust/DeBruijn.Lazy.Lennart/adjust/14,8.652882115671375e-6,8.642892658269459e-6,8.669486198924345e-6,4.260017541437999e-8,3.111784205139361e-8,6.924356222455932e-8
adjust/DeBruijn.Lazy.Lennart/adjust/15,1.0236274067001773e-5,1.022789906987561e-5,1.024485539415034e-5,2.9792462396780356e-8,2.4847060291680163e-8,3.7370678090100715e-8
adjust/DeBruijn.Lazy.Lennart/adjust/16,1.2078677242412964e-5,1.2061611566069196e-5,1.210242855574873e-5,6.755607146325117e-8,4.856794179306926e-8,1.0197011394048992e-7
adjust/DeBruijn.Lazy.Lennart/adjust/17,1.4069167819267284e-5,1.4043770157121124e-5,1.4097501434324957e-5,9.156204359934042e-8,7.871141156486452e-8,1.0971803837524746e-7
adjust/DeBruijn.Lazy.Lennart/adjust/18,1.610337354778422e-5,1.6087306729769754e-5,1.6145261239638875e-5,8.331325500219126e-8,3.9830627697223224e-8,1.565625034228139e-7
adjust/DeBruijn.Lazy.Lennart/adjust/19,1.836615464319215e-5,1.8339046036851203e-5,1.8407576107487354e-5,1.0845364044027277e-7,7.859867014989514e-8,1.7269359901361555e-7
adjust/DeBruijn.Lazy.Lennart/adjust/20,2.109418674829596e-5,2.1065787408760938e-5,2.113379235137633e-5,1.1777815665080517e-7,9.739814503472762e-8,1.4309685186429822e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Lennart/adjust/1,2.6014356618119102e-8,2.5934944373113813e-8,2.6160163195369175e-8,3.450423823407886e-10,2.2961498649482613e-10,5.608067101649857e-10
adjust/DeBruijn.Lazy.Lennart/adjust/2,1.1848703522565277e-7,1.1791053271179892e-7,1.1936620642517808e-7,2.396972321717886e-9,1.5489436036001354e-9,3.4326146700188793e-9
adjust/DeBruijn.Lazy.Lennart/adjust/3,2.6975355434843734e-7,2.687755408329049e-7,2.7123007717976743e-7,3.906078725380694e-9,2.8443014218558818e-9,5.457661810185638e-9
adjust/DeBruijn.Lazy.Lennart/adjust/4,4.855282558965726e-7,4.84725193668434e-7,4.865492561518175e-7,3.1224163152006863e-9,2.5016337043589102e-9,4.402755782377833e-9
adjust/DeBruijn.Lazy.Lennart/adjust/5,7.558887121495096e-7,7.550000019417433e-7,7.571706249805489e-7,3.516618002119841e-9,2.551046727446353e-9,5.054994066404511e-9
adjust/DeBruijn.Lazy.Lennart/adjust/6,1.0942818559654314e-6,1.0887016738419737e-6,1.1050101337651842e-6,2.5979824317528497e-8,1.4730547429416352e-8,4.839580343054137e-8
adjust/DeBruijn.Lazy.Lennart/adjust/7,1.521437395736705e-6,1.5189682623615107e-6,1.5241246619644833e-6,8.258185004617234e-9,6.879709886679403e-9,1.0024345609141443e-8
adjust/DeBruijn.Lazy.Lennart/adjust/8,2.0199973655286974e-6,2.0158510790505778e-6,2.0268264736656874e-6,1.7596205782093922e-8,1.2901218314349505e-8,2.6777033064516785e-8
adjust/DeBruijn.Lazy.Lennart/adjust/9,2.6862546403001146e-6,2.6813839124147513e-6,2.69294291203231e-6,2.056561661543146e-8,1.4957784210927173e-8,3.245702991882348e-8
adjust/DeBruijn.Lazy.Lennart/adjust/10,3.5250985829125968e-6,3.51513628224939e-6,3.5409265982668433e-6,4.2153938127492516e-8,3.036400260730821e-8,5.533474677169906e-8
adjust/DeBruijn.Lazy.Lennart/adjust/11,4.383488150327568e-6,4.376566264245168e-6,4.393571817142291e-6,2.8703687719324582e-8,1.616358555104929e-8,4.4197768360939237e-8
adjust/DeBruijn.Lazy.Lennart/adjust/12,5.4887153480737485e-6,5.4801936388773335e-6,5.50372460187275e-6,3.949481583080537e-8,2.70860605904888e-8,6.671446249112222e-8
adjust/DeBruijn.Lazy.Lennart/adjust/13,6.691933445421136e-6,6.682076243245047e-6,6.705234559206765e-6,3.988639967583075e-8,2.8971678183842095e-8,5.5037096077040276e-8
adjust/DeBruijn.Lazy.Lennart/adjust/14,8.001757059601132e-6,7.98946152367936e-6,8.02370316235288e-6,5.547372668277275e-8,3.9174992253048224e-8,8.842530112794619e-8
adjust/DeBruijn.Lazy.Lennart/adjust/15,9.520692212893158e-6,9.50653151220661e-6,9.54103585574039e-6,6.064267942475785e-8,4.700779304168911e-8,7.792532302231257e-8
adjust/DeBruijn.Lazy.Lennart/adjust/16,1.1140731961239619e-5,1.112741476184595e-5,1.116130359680899e-5,5.447911818724312e-8,3.769537612027916e-8,7.905008876780706e-8
adjust/DeBruijn.Lazy.Lennart/adjust/17,1.3100159041191815e-5,1.3088657990058663e-5,1.311101744902004e-5,3.814707870482601e-8,3.1187796682401634e-8,5.055431009729225e-8
adjust/DeBruijn.Lazy.Lennart/adjust/18,1.5005579590094657e-5,1.4984279931807185e-5,1.503538453821684e-5,8.700344821178891e-8,6.809842434951653e-8,1.212847312922938e-7
adjust/DeBruijn.Lazy.Lennart/adjust/19,1.7076620313321695e-5,1.7033137909243976e-5,1.7166401192348533e-5,2.0814669091839474e-7,1.0661185580606102e-7,4.172427310090915e-7
adjust/DeBruijn.Lazy.Lennart/adjust/20,1.9462142710055844e-5,1.94404235242739e-5,1.9522271726368217e-5,1.1447645978325946e-7,3.978863874976316e-8,2.3114709914076728e-7
